City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Min Temp,Wind Speed
Old Saybrook,1,US,2018-10-21 23:56:00,48,41.29,-72.38,44.6,37.4,4.7
Kapchorwa,12,UG,2018-10-22 00:20:16,95,1.4,34.45,56.21,56.21,0.25
Santa Rosa de Aguan,68,HN,2018-10-22 00:20:17,99,15.95,-85.71,82.81,82.81,15.35
Port Keats,24,AU,2018-10-22 00:20:17,76,-14.25,129.55,90.14,90.14,4.27
Dubovka,0,RU,2018-10-21 23:30:00,81,49.06,44.83,51.8,51.8,6.71
Banda Aceh,8,ID,2018-10-22 00:20:17,99,5.56,95.32,74.39,74.39,1.03
High Level,40,CA,2018-10-22 00:00:00,45,58.52,-117.13,46.4,46.4,2.24
Balud,20,PH,2018-10-22 00:20:18,100,12.22,124.89,79.84,79.84,4.61
Verkhoyansk,68,RU,2018-10-22 00:20:19,75,67.55,133.39,7.03,7.03,2.71
Mirabad,20,IR,2018-10-22 00:20:19,81,28.27,61.33,46.94,46.94,2.59
Pinega,92,RU,2018-10-22 00:20:19,97,64.7,43.39,40.19,40.19,9.98
Cidreira,0,BR,2018-10-22 00:20:19,73,-30.17,-50.22,64.76,64.76,16.35
Oranjemund,64,ZA,2018-10-22 00:20:20,89,-28.55,16.43,60.76,60.76,12.33
Male,0,UA,2018-10-22 00:20:20,92,50.74,33.7,36.19,36.19,8.08
Poum,92,MK,2018-10-22 00:20:20,100,41.28,20.71,45.23,45.23,2.15
Sumenep,0,ID,2018-10-22 00:20:20,95,-7.02,113.87,83.03,83.03,9.75
Salalah,0,OM,2018-10-21 22:50:00,78,17.01,54.1,75.2,75.2,3.36
Luanda,75,AO,2018-10-21 23:00:00,94,-8.83,13.24,75.2,75.2,2.24
Macae,56,BR,2018-10-22 00:20:21,81,-22.37,-41.79,59.59,59.59,2.71
Georgiyevka,8,RU,2018-10-22 00:20:21,79,52.25,40.45,42.44,42.44,7.18
Shitanjing,0,CN,2018-10-22 00:20:22,72,39.23,106.34,24.94,24.94,3.6
Andover,20,US,2018-10-21 23:56:00,47,42.66,-71.14,42.8,35.6,5.82
Hazebrouck,88,FR,2018-10-22 00:00:00,87,50.72,2.54,59.0,46.4,5.82
Ahipara,0,NZ,2018-10-22 00:20:23,63,-35.17,173.16,68.9,68.9,2.26
Cherskiy,68,RU,2018-10-22 00:20:23,89,68.75,161.3,9.95,9.95,3.83
Palana,48,RU,2018-10-22 00:20:23,94,59.08,159.95,32.68,32.68,3.38
Narsaq,92,GL,2018-10-21 23:50:00,85,60.91,-46.05,24.8,24.8,3.36
Bereda,12,ES,2018-10-22 00:00:00,87,43.27,-7.54,59.0,59.0,2.24
El Sauzal,20,AR,2018-10-21 23:00:00,57,-24.3,-64.96,78.8,78.8,3.36
Aswan,0,EG,2018-10-21 23:00:00,28,24.09,32.9,84.2,84.2,3.36
Sciacca,20,IT,2018-10-21 23:55:00,88,37.51,13.08,68.0,68.0,10.29
Ekibastuz,48,KZ,2018-10-22 00:20:25,91,51.72,75.32,38.08,38.08,9.42
Pembroke,90,CA,2018-10-22 00:00:00,55,45.82,-77.11,33.8,33.8,2.24
Conakry,75,GN,2018-10-22 00:00:00,88,9.52,-13.7,80.6,80.6,9.17
Nemuro,75,JP,2018-10-21 23:30:00,81,43.32,145.57,48.2,48.2,2.24
Terrace Bay,88,CA,2018-10-22 00:18:23,100,48.78,-87.1,40.64,40.64,14.79
Arraial do Cabo,32,BR,2018-10-22 00:20:26,96,-22.97,-42.02,68.18,68.18,6.96
Westport,8,IE,2018-10-22 00:20:27,98,53.8,-9.52,46.76,46.76,9.75
Broken Hill,0,AU,2018-10-22 00:20:27,37,-31.97,141.45,76.37,76.37,12.44
Jishou,56,CN,2018-10-22 00:20:28,98,28.26,109.7,53.42,53.42,3.38
Aitape,32,PG,2018-10-22 00:20:28,100,-3.15,142.36,80.83,80.83,2.82
Egvekinot,36,RU,2018-10-22 00:20:28,70,66.32,-179.17,20.66,20.66,3.49
Abasolo,40,MX,2018-10-21 23:42:00,56,20.45,-101.53,68.0,68.0,13.87
Pacific Grove,75,US,2018-10-22 00:04:00,72,36.62,-121.92,69.8,60.8,9.17
Rovaniemi,90,FI,2018-10-21 23:50:00,93,66.5,25.72,42.8,42.8,8.05
Santiago del Estero,88,AR,2018-10-22 00:20:29,92,-27.8,-64.26,72.41,72.41,8.63
Edson,1,CA,2018-10-22 00:00:00,31,53.59,-116.44,48.2,48.2,3.36
Sabla,0,NG,2018-10-22 00:20:30,66,12.75,4.71,67.06,67.06,2.71
Tsabong,92,BW,2018-10-22 00:20:30,65,-26.02,22.4,67.01,67.01,11.1
Anage,92,BR,2018-10-22 00:20:30,70,-14.61,-41.14,71.51,71.51,13.78
Barabai,36,ID,2018-10-22 00:20:31,88,-2.59,115.38,77.9,77.9,2.93
Mackenzie,1,CA,2018-10-22 00:00:00,54,55.34,-123.09,44.6,44.6,2.24
Labuhan,56,ID,2018-10-22 00:20:31,88,-2.54,115.51,76.69,76.69,2.37
Port Blair,64,IN,2018-10-22 00:20:31,100,11.67,92.75,80.56,80.56,0.92
Rawson,68,AR,2018-10-22 00:20:32,37,-43.3,-65.11,58.51,58.51,16.91
Gazojak,0,TM,2018-10-22 00:20:32,87,41.19,61.4,38.21,38.21,2.93
Supe,64,PE,2018-10-22 00:20:32,99,-10.8,-77.72,61.97,61.97,13.44
Tevaitoa,56,PF,2018-10-22 00:20:33,94,-16.78,-151.5,81.73,81.73,12.44
Verviers,90,BE,2018-10-21 23:55:00,81,50.59,5.86,50.0,32.0,5.82
Zabaykalsk,64,CN,2018-10-22 00:20:33,92,49.64,117.33,34.07,34.07,1.7
Kruisfontein,0,ZA,2018-10-22 00:20:33,76,-34.0,24.73,60.53,60.53,21.72
Kahului,20,US,2018-10-21 23:56:00,62,20.89,-156.47,87.8,78.8,19.46
Burnie,8,AU,2018-10-22 00:20:34,95,-41.05,145.91,56.93,56.93,15.01
Swan Hill,0,AU,2018-10-22 00:20:37,64,-35.34,143.56,68.23,68.23,11.99
Taoudenni,48,ML,2018-10-22 00:20:38,44,22.68,-3.98,77.68,77.68,12.21
Ashta,32,IN,2018-10-22 00:20:38,73,16.95,74.41,70.61,70.61,5.84
Zapodeni,0,RO,2018-10-22 00:00:00,70,46.75,27.65,51.8,46.4,6.93
Honiara,20,SB,2018-10-22 00:00:00,66,-9.43,159.96,87.8,87.8,6.93
Ostrovnoy,8,RU,2018-10-22 00:20:39,92,68.05,39.51,36.59,36.59,12.66
Miyako,0,JP,2018-10-21 23:30:00,67,33.63,130.94,60.8,60.8,4.7
Horsham,8,AU,2018-10-22 00:20:39,82,-36.71,142.2,64.49,64.49,13.44
Necochea,92,AR,2018-10-22 00:20:39,70,-38.55,-58.74,62.06,62.06,5.61
Mumford,0,GH,2018-10-22 00:20:40,94,5.26,-0.76,78.26,78.26,8.52
Morales,20,CO,2018-10-22 00:20:40,91,8.28,-73.87,76.28,76.28,2.48
Mattru,44,SL,2018-10-22 00:20:40,89,7.62,-11.83,76.24,76.24,3.15
Aviles,75,ES,2018-10-22 00:00:00,93,43.55,-5.92,60.8,60.8,3.36
Praia da Vitoria,90,PT,2018-10-22 00:00:00,93,38.73,-27.07,66.2,66.2,23.73
Moanda,76,CD,2018-10-22 00:20:41,93,-5.93,12.38,75.47,75.47,4.16
Kolyvan,40,RU,2018-10-21 23:30:00,93,55.31,82.74,37.4,37.4,8.95
Marabba,44,SD,2018-10-22 00:20:41,90,12.35,32.18,70.52,70.52,2.82
Yulara,0,AU,2018-10-22 00:00:00,11,-25.24,130.99,86.0,86.0,11.41
Khasan,76,RU,2018-10-22 00:20:42,100,42.43,130.64,54.14,54.14,3.6
Hengyang,92,CN,2018-10-22 00:20:42,100,26.89,112.6,57.61,57.61,4.61
Marakkanam,12,IN,2018-10-22 00:20:42,100,12.2,79.95,75.79,75.79,3.6
Alberton,8,ZA,2018-10-22 00:00:00,58,-26.25,28.13,53.6,53.6,6.93
Naze,48,NG,2018-10-22 00:20:43,92,5.43,7.07,75.02,75.02,5.5
Nabire,76,ID,2018-10-22 00:20:43,89,-3.36,135.5,74.03,74.03,0.81
Meulaboh,0,ID,2018-10-22 00:20:43,100,4.14,96.13,78.13,78.13,5.95
Curug,40,RS,2018-10-22 00:00:00,93,45.47,20.07,48.2,48.2,1.12
Rosetta,0,EG,2018-10-21 23:00:00,83,31.4,30.42,73.4,73.4,6.93
Dubbo,0,AU,2018-10-22 00:00:00,60,-32.25,148.6,73.4,73.4,8.05
Jijiga,36,ET,2018-10-22 00:20:44,73,9.35,42.8,63.41,63.41,4.16
Araouane,20,ML,2018-10-22 00:20:44,25,18.9,-3.53,84.56,84.56,14.67
Perth,0,GB,2018-10-21 23:50:00,70,56.4,-3.43,44.6,44.6,9.17
Saint George,90,GR,2018-10-21 23:50:00,87,39.45,22.34,59.0,59.0,4.7
Yuyao,75,CN,2018-10-21 23:00:00,100,30.04,121.15,62.6,62.6,3.15
Matina,80,CR,2018-10-22 00:20:46,93,10.08,-83.29,75.61,75.61,1.92
Belyy Yar,0,RU,2018-10-21 23:30:00,70,53.6,91.39,44.6,44.6,17.9
Talwara,12,IN,2018-10-22 00:20:49,69,31.94,75.88,55.04,55.04,2.59
Las Vegas,20,US,2018-10-21 23:56:00,44,36.17,-115.15,75.2,71.6,8.05
Hokitika,12,NZ,2018-10-22 00:20:50,93,-42.72,170.96,58.37,58.37,5.61
Salekhard,36,RU,2018-10-22 00:20:51,80,66.54,66.62,18.32,18.32,6.73
Lasa,20,CY,2018-10-22 00:00:00,82,34.92,32.53,66.2,64.4,8.05
Aloleng,0,PH,2018-10-22 00:20:51,95,16.13,119.78,82.54,82.54,5.17
Avera,1,US,2018-10-21 23:55:00,81,33.19,-82.53,57.2,48.2,4.16
Keetmanshoop,100,NA,2018-10-22 00:20:52,40,-26.57,18.15,72.91,72.91,4.72
Gladstone,68,AU,2018-10-22 00:20:52,88,-23.84,151.26,73.99,73.99,4.16
Alice Springs,0,AU,2018-10-22 00:00:00,10,-23.7,133.88,91.4,91.4,9.17
Macieira de Cambra,40,PT,2018-10-22 00:00:00,100,40.86,-8.34,64.4,60.8,2.24
Grand Forks,1,US,2018-10-21 23:55:00,52,47.91,-97.06,57.2,46.4,4.7
Sur,0,OM,2018-10-22 00:20:53,94,22.57,59.53,81.41,81.41,5.84
Batemans Bay,0,AU,2018-10-22 00:20:54,77,-35.71,150.18,65.48,65.48,6.29
Toktogul,0,KG,2018-10-22 00:20:54,74,41.87,72.95,9.86,9.86,1.81
Manta,88,RO,2018-10-22 00:20:54,95,45.1,24.1,50.18,50.18,3.15
Vammala,90,FI,2018-10-21 23:50:00,93,61.34,22.91,53.6,51.8,13.87
Chumikan,56,RU,2018-10-22 00:20:54,98,54.72,135.31,34.03,34.03,0.92
Lazaro Cardenas,90,MX,2018-10-21 23:52:00,100,28.39,-105.62,55.4,55.4,6.93
Sitka,8,US,2018-10-22 00:20:55,25,37.17,-99.65,65.84,65.84,15.46
Novopokrovka,0,RU,2018-10-22 00:20:55,75,45.85,134.51,46.18,46.18,2.26
Vila do Maio,75,CV,2018-10-22 00:00:00,74,15.13,-23.22,78.8,78.8,12.75
Comodoro Rivadavia,75,AR,2018-10-21 23:00:00,50,-45.87,-67.48,55.4,55.4,13.87
Caravelas,92,BR,2018-10-22 00:20:56,100,-17.73,-39.27,75.34,75.34,15.01
Gweta,20,BW,2018-10-22 00:20:56,54,-20.21,25.26,64.13,64.13,22.5
Vidim,0,CZ,2018-10-22 00:00:00,86,50.47,14.53,37.4,35.6,5.82
Popondetta,68,PG,2018-10-22 00:20:57,82,-8.77,148.24,76.19,76.19,0.36
Jalalpur,0,IN,2018-10-22 00:18:45,54,26.31,82.74,67.82,67.82,6.17
Port Moresby,75,PG,2018-10-21 23:00:00,78,-9.47,147.16,82.4,82.4,4.7
Rio Tercero,32,AR,2018-10-22 00:20:58,77,-32.17,-64.11,66.43,66.43,7.74
Gaurela,0,IN,2018-10-22 00:20:58,93,22.75,81.9,62.29,62.29,2.93
Sungaipenuh,88,ID,2018-10-22 00:20:58,97,-2.08,101.38,67.19,67.19,0.02
Byron Bay,40,AU,2018-10-22 00:00:00,64,-28.65,153.62,75.2,75.2,11.41
Dawson Creek,20,CA,2018-10-22 00:00:00,42,55.76,-120.23,46.4,44.6,4.7
Inhambane,64,MZ,2018-10-22 00:20:59,95,-23.87,35.38,67.28,67.28,19.6
Phalodi,0,IN,2018-10-22 00:20:59,52,27.13,72.36,61.48,61.48,4.5
Jinchang,0,CN,2018-10-22 00:20:59,75,38.52,102.19,28.04,28.04,6.73
Amarpur,0,IN,2018-10-22 00:21:00,90,23.52,91.65,63.01,63.01,2.37
Biak,20,ID,2018-10-22 00:21:00,84,-0.91,122.88,82.76,82.76,4.38
Sinop,48,TR,2018-10-22 00:21:00,100,42.03,35.15,63.59,63.59,16.13
Kokoda,80,PG,2018-10-22 00:21:01,90,-8.88,147.74,68.36,68.36,1.92
Van Buren,90,US,2018-10-21 22:56:00,58,47.16,-67.94,35.6,30.2,10.29
Vangaindrano,0,MG,2018-10-22 00:21:01,69,-23.35,47.6,57.56,57.56,5.73
Loandjili,20,CG,2018-10-21 23:00:00,88,-4.77,11.87,77.0,77.0,5.82
Karratha,0,AU,2018-10-22 00:21:01,13,-20.74,116.85,83.93,83.93,4.61
Ngunguru,0,NZ,2018-10-22 00:21:02,93,-35.62,174.5,62.96,62.96,5.73
Saint-Augustin,0,FR,2018-10-22 00:00:00,87,44.83,-0.61,51.8,51.8,3.36
Nsanje,20,MZ,2018-10-22 00:21:02,63,-16.92,35.26,67.78,67.78,10.76
Medea,40,DZ,2018-10-22 00:00:00,93,36.27,2.77,62.6,62.6,3.36
Katangli,0,RU,2018-10-22 00:21:03,100,51.71,143.23,38.21,38.21,8.52
Bonfim,0,BR,2018-10-21 23:00:00,77,-20.33,-44.24,64.4,64.4,8.05
Komsomolskiy,92,RU,2018-10-22 00:21:03,90,67.55,63.78,19.04,19.04,8.75
